,174,1109,1102,405,218,461,464,214,455,278,437,413,451,458,448,417,408,450,415,457,452,418,190,292,459,150,419,248,196,258,301,390,423,424,971,981,982,983,984,412,311
174,0,14.74,14.7,22.88,17.73,20.03,10.45,15.25,16.43,18.49,19.48,15.39,11.92,19.24,18.41,5.27,22.63,25.56,20.48,22.16,12.08,30.55,14.86,11.5,11.65,12.74,16.07,9.53,16.71,13.4,6.78,10.3,8.06,14.02,9.56,14.9,23.51,8.23,27.55,18.17,9.89
1109,15.59,0,24.24,31.45,27.26,29.87,22.13,27.66,25.96,29.81,31.39,27.27,24.32,29.44,27.94,17.77,32.16,35.09,30.01,26.23,23.07,39.46,25.85,10.63,8.27,7.71,4.11,19.72,4.75,6.05,14.87,11.51,17.59,5.15,11.94,3.39,33.05,15.68,36.83,29.16,13.58
1102,15.32,24.64,0,10.79,5,8.25,10.6,13.25,2.29,11.01,10.05,9.41,11.9,7.3,5.4,15.35,10.54,13.47,8.39,16.11,19.53,18.46,17.92,21.4,21.56,22.64,25.97,11.8,26.61,23.3,20.1,20.2,10.4,23.92,19.46,24.8,11.43,17.81,15.46,13.2,19.48
405,22.45,30.26,11.43,0,10.86,9.18,16.07,10.61,12.81,6.68,7.15,10.64,13.89,9.83,12.18,19.59,8.11,8.42,7.45,10.34,13.76,12.46,12.15,28.53,28.68,28.62,31.59,18.64,32.24,28.93,26.74,27.33,17.53,29.55,26.59,30.43,7.81,24.94,9.32,6.63,26.61
218,17.63,26.95,4.89,10.73,0,8.19,11.63,13.45,5.22,10.95,10.25,9.61,12.06,7.49,1.8,16.38,8.66,11.59,8.33,16.05,19.47,15.14,17.86,23.71,23.86,24.95,28.28,14.1,28.92,25.61,22.41,22.5,12.7,26.23,21.77,27.11,9.54,20.12,13.58,13.14,21.78
461,19.01,29.6,8.32,8.76,8.64,0,10.22,6.8,10.05,5.99,4.27,5.34,9.35,3.36,9.96,14.98,9.94,12.12,6.34,14.64,13.87,16.55,15.46,26.36,26.51,27.6,30.93,12.88,31.57,28.26,22.87,25.15,13.84,28.88,24.42,29.76,9.95,22.71,13.4,11.73,24.38
464,10.2,21.2,9.86,16.01,11.76,10.7,0,8.49,11,11.18,10.19,6.44,5.49,9.91,13.08,6.26,17.07,20,14.92,21.06,15.22,24.58,17.6,17.96,18.12,19.2,22.53,4.07,23.17,19.87,14.06,16.76,5.02,20.48,16.02,21.36,17.9,13.9,21.44,14.97,15.56
214,15.03,26.77,13.08,10.82,13.4,8.48,8.32,0,14.81,4.88,6.32,6.39,4.89,8.78,14.71,10.4,13.63,15.5,10.52,14.22,8.87,20.01,11.12,23.53,23.68,24.77,28.1,9.64,28.74,25.44,18.88,22.33,10.59,26.05,21.59,26.93,13.33,19.47,16.86,8.37,21.14
455,16.26,25.58,2.42,12.34,5.33,9.8,11.38,14.8,0,12.56,11.6,10.97,13.35,8.85,5.74,16.14,11.35,14.28,9.94,17.66,21.08,19.27,19.47,22.33,22.49,23.57,26.9,12.73,27.55,24.24,21.04,21.13,11.33,24.86,20.39,25.74,12.24,18.74,16.27,14.75,20.41
278,18.54,28.91,11.52,6.51,11.13,6.96,10.95,4.75,13.08,0,2.8,6.03,8.03,7.26,12.45,13.91,9.71,11.58,6.61,12.85,10.01,16.09,10.54,26.66,26.82,27.28,30.24,12.77,30.88,27.58,21.84,25.46,13.72,28.2,24.72,29.08,9.41,22.6,12.94,6.69,24.27
437,19.9,30.56,10.75,6.26,10.18,5.74,11.12,6.39,12.13,2.51,0,5.64,9.67,6.77,11.5,15.56,8.78,10.64,5.66,12.96,11.66,15.15,12.19,27.67,27.82,28.91,31.89,13.78,32.53,29.23,23.49,26.46,14.73,29.84,25.73,30.72,8.47,23.61,12.01,8.33,25.27
413,14.5,25.51,8.44,11.56,8.73,6.47,5.72,6.78,10.17,6.7,5.74,0,4.37,6.01,10.05,10.47,13.58,15.64,10.78,17.92,14.47,20.15,16.18,22.27,22.42,23.5,26.84,8.38,27.48,24.17,18.36,21.06,9.33,24.79,20.32,25.67,13.47,18.2,17.01,12.52,19.87
451,11.98,23.01,11.02,14.11,11.44,9.31,4.56,5.23,12.16,8.18,8.59,4.49,0,8.89,12.76,7.23,16.43,18.49,13.63,18.16,12.39,23,14.77,19.77,19.92,21.01,24.34,5.88,24.98,21.67,15.86,18.57,6.83,22.29,17.83,23.17,16.32,15.71,19.86,11.7,17.37
458,18.12,28.67,7.38,10,7.21,3.1,9.33,8.72,9.1,7.36,5.65,5.36,9.35,0,8.53,14.08,9.44,12.37,6.87,15.32,15.25,17.08,16.84,25.43,25.59,26.67,30,12,30.64,27.34,21.98,24.23,12.95,27.96,23.49,28.84,10.33,21.82,13.94,12.41,23.49
448,18.05,27.37,5.43,11.85,1.78,9.31,12.74,14.57,5.76,12.07,11.37,10.73,13.18,8.61,0,17.5,9.63,12.56,9.45,17.17,20.59,16.59,18.98,24.13,24.28,25.36,28.7,14.52,29.34,26.03,22.83,22.92,13.12,26.65,22.18,27.53,10.52,20.54,14.55,14.26,22.2
417,5.09,16.94,14.67,19.11,16.57,15.51,6.2,10.77,15.81,14,15,10.91,7.44,14.72,17.89,0,21.88,24.62,19.64,19.82,10.53,29.13,13.83,13.7,13.85,14.94,18.27,7.11,18.91,15.6,9.1,12.5,6.16,16.22,11.76,17.1,22.45,11.06,25.99,13.97,12.73
408,22.13,31.45,10.92,8.13,8.99,8.75,16.15,14.01,11.24,10.12,9.56,12.91,16.59,9.53,9.65,20.9,0,4.09,3.92,15.17,18.59,9.56,16.98,28.21,28.36,29.45,32.78,18.6,33.42,30.12,26.91,27.01,17.21,30.73,26.27,31.61,1.41,24.62,6.08,11.78,26.29
450,25.17,34.49,13.95,8.59,12.03,11.79,19.19,15.98,14.28,12.1,11.57,15.55,19.26,12.57,12.69,23.94,4.21,0,6.43,15.94,19.27,7.43,17.66,31.25,31.4,32.49,35.82,21.64,36.46,33.15,29.95,30.04,20.24,33.77,29.31,34.65,4.03,27.66,3.17,12.62,29.32
415,20.86,30.18,9.84,7.58,8.97,6.54,14.71,10.45,11.22,6.56,6,10.07,13.73,7.2,9.63,19.46,3.92,6.32,0,12.9,15.71,11.8,14.72,26.94,27.09,28.18,31.51,17.33,32.15,28.84,25.64,25.74,15.94,29.46,25,30.34,4.15,23.35,8.31,9.99,25.02
